Quy định mới về tiêu chuẩn xét thăng hàm cấp tướng công an trước thời hạn,"
                            Trần Thường
                        ","
                    "
Xét xử vắng mặt bà Nguyễn Thị Thanh Nhàn là tiền đề để dẫn độ về nước,"
                            Thu Hằng
                        ","
                    "
Giảm thời gian đóng BHXH xuống 15 năm được hưởng lương hưu là phù hợp,"
                            Thu Hằng
                        ","
                    "
Chủ tịch Quốc hội: Chờ 20 năm đóng BHXH mới được hưởng lương hưu thì dài quá,"
                            Thu Hằng
                        ","
                    "
Ông Nguyễn Văn Quyết làm Phó chủ nhiệm Ủy ban Kiểm tra Trung ương,"
                            Trần Thường
                        ","
                    "
Đề xuất hoãn xuất cảnh với chủ doanh nghiệp trốn đóng BHXH trên 1 năm,"
                            Thu Hằng
                        ","
                    "
"Chủ tịch nước gặp mặt đoàn chức sắc, chức việc, trí thức, người tiêu biểu TP.HCM",,"Bày tỏ vinh dự và vui mừng đến thăm Phủ Chủ tịch và gặp mặt Chủ tịch nước, các đại biểu đều mong muốn nỗ lực đóng góp để đưa Thành phố Hồ Chí Minh phát triển mạnh mẽ. Vui mừng trước thành tựu phát triển và vị thế quốc tế của đất nước ngày càng cao, các đại biểu mong muốn Đảng, Nhà nước tiếp tục quan tâm hơn nữa đến thế hệ trẻ, nhất là những bạn trẻ đang khởi nghiệp, có cơ chế hỗ trợ và khuyến khích thế hệ trẻ đóng góp trí tuệ xây dựng Thành phố và đất nước."
Đại tướng Tô Lâm: Hội Cựu CAND Việt Nam góp phần vào sự ổn định của đất nước,,"Được sự đồng ý của Ban Bí thư Trung ương Đảng và sau khi thực hiện các bước chuẩn bị theo quy định ngày 1/8/2023, Bộ Nội vụ đã ký quyết định cho phép thành lập Hội Cựu Công an nhân dân (CAND) Việt Nam. Hội Cựu CAND Việt Nam ra đời là mốc son quan trọng trong lịch sử phát triển 78 năm của lực lượng CAND; khẳng định tầm quan trọng của đội ngũ cán bộ Công an hưu trí cũng như Hội Cựu CAND Việt Nam, đóng góp vào quá trình phát triển của lực lượng CAND nói riêng, trong công cuộc xây dựng và bảo vệ Tổ quốc nói chung."
"Sẽ tha, miễn tội cho những người không vụ lợi trong vụ Việt Á","
                            Thu Hằng
                        ","
                    "
Trung Quốc phối hợp với Việt Nam chuẩn bị tốt cho chuyến thăm cấp cao sắp tới,"
                            Trần Thường
                        ","
                    "
"Thủ tướng: Các cựu CAND là chỗ dựa tinh thần, tấm gương để chiến sĩ trẻ noi theo","
                            Đình Hiếu
                        ","
                    "
Việt Nam sẽ dự các hội nghị BRICS tại Nam Phi,,"Chiều 17/8, tại họp báo thường kỳ, người phát ngôn Bộ Ngoại giao đã nêu quan điểm trước thông tin Việt Nam có ý định tham gia Nhóm BRICS (khối các nền kinh tế mới nổi lớn bao gồm Brazil, Nga, Ấn Độ, Trung Quốc và Nam Phi)."
Xử lý hình sự 31 cán bộ diện Trung ương quản lý từ đầu nhiệm kỳ đến nay,"
                            Thu Hằng
                        ","
                    "
Thủ tướng: Xử lý ngay các điểm sạt lở đặc biệt nguy hiểm tại ĐBSCL,,Thủ tướng thị sát tình hình sạt lở ở Đồng Tháp - Ảnh: VGP/Nhật Bắc
Phó Thủ tướng Trần Lưu Quang dự Ngày hội toàn dân bảo vệ ANTQ ở Đắk Lắk,"
                            Hải Dương
                        ","
                    "
"Thủ tướng dâng hương, viếng mộ Cụ Phó bảng Nguyễn Sinh Sắc",,"Sáng nay (13/8), Thủ tướng dâng hương tại Mộ Cụ Phó Bảng Nguyễn Sinh Sắc - Ảnh VGP/Nhật Bắc"
Việt Nam chính thức nâng thời hạn tạm trú lên 45 ngày cho công dân 13 nước,"
                            Trần Thường
                        ","
                    "
Kiến nghị xem xét thanh tra toàn diện chiết khấu SGK,"
                            Thu Hằng
                        ","
                    "
Việt Nam luôn coi trọng hợp tác phát triển quốc phòng với Nga,,"Chiều 17/8, tại họp báo thường kỳ, báo chí thông tin về phát biểu của Bộ trưởng Quốc phòng Nga Sergei Shoigu trong cuộc gặp Bộ trưởng Quốc phòng Việt Nam Phan Văn Giang bên lề Hội nghị An ninh Quốc tế Moscow lần thứ 11. Bộ trưởng Quốc phòng Nga cho biết vũ khí Nga sẽ được ứng dụng trong quân đội Việt Nam, đáp ứng nhu cầu của Việt Nam. Báo chí đặt câu hỏi đến người phát ngôn Bộ Ngoại giao về phản ứng của Việt Nam trước thông tin này."
Thủ tướng phân cấp cho TP.HCM được điều chỉnh cục bộ quy hoạch khu chức năng,"
                            Hồ Văn
                        ","
                    "
"Chủ tịch Quốc hội: Khơi thông nguồn lực đất đai, tránh lợi ích nhóm","
                            Thu Hằng
                        ","
                    "
"Thủ tướng Phạm Minh Chính thăm, làm việc tại Đồng Tháp",,"Thăm Nhà máy xay xát gạo của Công ty TNHH lúa gạo Việt Nam (VINARICE) ở Cụm công nghiệp Trường Xuân, huyện Tháp Mười, có công suất sấy và chế biến 50.000 tấn hạt giống và 100.000 tấn gạo/năm, "
"Chủ tịch TP.HCM: Xử lý dứt điểm sai phạm đất đai, xây dựng trong năm 2023","
                            Hồ Văn
                        ","
                    "
Bộ trưởng GD-ĐT đề nghị cân nhắc việc biên soạn bộ sách giáo khoa bằng ngân sách,"
                            Thu Hằng
                        ","
                    "
Để giáo viên có thu nhập thực sự sống bằng nghề mới là quan trọng nhất,"
                            Thu Hằng
                        ","
                    "
"Nữ chiến sĩ Công binh Việt Nam rạng rỡ, xúc động hát Quốc ca ngày trở về",,"Rạng sáng 15/8, tại sân bay quốc tế Nội Bài (Hà Nội), Cục Gìn giữ hòa bình Việt Nam (Bộ Quốc phòng) tổ chức lễ đón Đội Công binh số 1 tham gia hoạt động gìn giữ hòa bình Liên Hợp Quốc tại Phái bộ UNISFA (khu vực Abyei), hoàn thành xuất sắc nhiệm vụ về nước."
Chủ tịch Quốc hội: Cần đánh giá kỹ chủ trương 'một chương trình nhiều bộ SGK',"
                            Thu Hằng
                        ","
                    "
"Hai Bộ trưởng Tư pháp, Nông nghiệp đăng đàn trả lời chất vấn","
                            Trần Thường
                        ","
                    "
Chủ tịch huyện miền núi được bổ nhiệm giữ chức giám đốc sở ở Khánh Hòa,"
                            Xuân Ngọc 
                        ","
                    "
Thủ tướng: Góp mặt tại World Cup là sự trưởng thành vượt bậc của bóng đá nữ,,Thủ tướng Phạm Minh Chính gặp mặt Đội tuyển Bóng đá nữ quốc gia Việt Nam tham dự Vòng chung kết Giải Bóng đá nữ thế giới 2023 (World Cup 2023) - Ảnh: VGP/Nhật Bắc
Đề nghị các cơ quan chủ quản báo chí tăng kinh phí cho thông tin tuyên truyền,"
                            Trần Thường
                        ","
                    "
Bổ nhiệm ông Trịnh Mạnh Linh làm Trợ lý Thủ tướng Phạm Minh Chính,"
                            Trần Thường
                        ","
                    "
"Bộ trưởng Tư pháp: 'Quân xanh, quân đỏ' trong đấu giá tài sản chỉ là ngoại lệ",,"Sáng 15/8, Ủy ban Thường vụ Quốc hội tổ chức phiên chất vấn và trả lời chất vấn nhóm vấn đề thuộc lĩnh vực của Bộ Tư pháp, vấn đề liên quan đến đấu giá tài sản được nhiều ĐBQH quan tâm."
Đoàn đại biểu Đại hội thành lập Hội cựu Công an nhân dân vào Lăng viếng Bác,"
                            Đình Hiếu
                        ","
                    "
"Viện trưởng Lê Minh Trí: Đây là lần thứ 10, tôi trả lời về vụ án gỗ trắc",,"Sáng 15/8, tại phiên họp 25 của Ủy ban Thường vụ chất vấn lĩnh vực Bộ Tư pháp, ĐB Hoàng Đức Thắng (Quảng Trị) tiếp tục chất vấn về vụ án buôn lậu gỗ trắc ở Quảng Trị. Đây cũng là nội dung nhiều đại biểu đoàn Quảng Trị đặt ra nhiều lần trên nghị trường."
Bộ trưởng Lê Minh Hoan ám ảnh trước câu nói của người trồng lúa về thu nhập,,"Chiều 15/8, tại phiên chất vấn Bộ trưởng NN-PTNT Lê Minh Hoan, nhiều đại biểu đặt câu hỏi liên quan đến xuất khẩu gạo."
"Hai bộ trưởng trăn trở về tiền lương, phụ cấp cho pháp chế viên, giám định viên",,"Sáng 15/8, tại phiên họp 25 của Ủy ban Thường vụ chất vấn Bộ trưởng Tư pháp Lê Thành Long, nhiều đại biểu đặt câu hỏi liên quan đến công tác cán bộ trong lĩnh vực tư pháp."
,,"Từ năm 2021-2023, Tỉnh ủy Bắc Giang triển khai xây dựng và nhân rộng mô hình chính quyền thân thiện, tạo được đồng thuận trong nhân dân, thúc đẩy cải cách thủ tục hành chính. "
"Cử tri đánh giá cao việc xét xử công khai, nghiêm minh vụ 'chuyến bay giải cứu'","
                            Thu Hằng
                        ","
                    "
"Bí thư Hà Nội: 'Quận Hoàn Kiếm rất đặc thù, tinh thần là giữ nguyên'","
                            Quang Phong
                        ","
                    "
Kỳ họp 31 của Ủy ban Kiểm tra Trung ương đề nghị kỷ luật nhiều cán bộ,,"Trong hai ngày 16 và 17/8/2023, tại Hà Nội, Ủy ban Kiểm tra Trung ương đã họp Kỳ thứ 31. Đồng chí Trần Cẩm Tú, Ủy viên Bộ Chính trị, Bí thư Trung ương Đảng, Chủ nhiệm Ủy ban Kiểm tra Trung ương chủ trì Kỳ họp."
Phó Thủ tướng yêu cầu có phương án khắc phục ngập cao tốc Phan Thiết - Dầu Giây,"
                            Thu Hằng
                        ","
                    "
"Có quy chuẩn phòng cháy tuổi thọ 1 năm, gây khó khăn cho doanh nghiệp","
                            Thu Hằng
                        ","
                    "
Bộ Nội vụ tổ chức thi chuyên viên cao cấp năm 2023,"
                            Thu Hằng
                        ","
                    "
"Bộ Công an, Bộ Quốc phòng gặp mặt nhân dịp kỷ niệm ngày truyền thống CAND","
                            Tiến Dũng
                        ","
                    "
Kiểm tra công tác bảo vệ chính trị nội bộ tại Ban cán sự đảng Bộ GTVT,"
                            Tiến Dũng
                        ","
                    "
"Bảo đảm lộ trình sáp nhập huyện, xã trong năm 2023 và 2024","
                            Thu Hằng
                        ","
                    "
Quân ủy Trung ương bỏ phiếu giới thiệu nhân sự quy hoạch Trung ương khóa mới,"
                            Trần Thường
                        ","
                    "
"Tin cậy chính trị là vốn quý để hợp tác Việt Nam-Iran đơm hoa, kết trái","
                            Trần Thường
                        ","
                    "
Thủ tướng: Thời điểm lịch sử quan trọng để hoàn thành cao tốc Bắc - Nam,"
                            Thu Hằng
                        ","
                    "
Đề xuất cấp căn cước cho người gốc Việt không quốc tịch trong nước,"
                            Trần Thường
                        ","
                    "
Thủ tướng yêu cầu quyết liệt tháo gỡ khó khăn cho thị trường bất động sản,"
                            Trần Thường
                        ","
                    "
Nữ Bí thư Thị ủy Kinh Môn giữ chức Giám đốc Sở Nội vụ Hải Dương,"
                            Hoài Anh
                        ","
                    "
"Thủ tướng: Truyền cảm hứng cho toàn dân, hóa giải những khó khăn, tồn tại","
                            Thu Hằng
                        ","
                    "
Trưởng ban Tuyên giáo TW: Phát huy vai trò nhân dân trong bảo vệ an ninh Tổ quốc,"
                            Xuân An
                        ","
                    "
Chủ tịch Quốc hội tiếp lãnh đạo các tập đoàn kinh tế lớn của Indonesia,"
                            Trần Thường
                        ","
                    "
Chủ tịch TP.HCM: Nghị quyết 98 không phải là 'đũa thần' gỡ hết các vướng mắc,"
                            Hồ Văn
                        ","
                    "
Thủ tướng bổ nhiệm Phó Tổng Giám đốc Thông tấn xã Việt Nam,"
                            Trần Thường
                        ","
                    "
"Quan hệ Việt Nam - Indonesia 'thật là bầu bạn, thật là anh em'","
                            Trần Thường
                        ","
                    "
"Xây dựng đề án đào tạo hàng chục nghìn kỹ sư chuyển đổi số, chip bán dẫn","
                            Trần Thường
                        ","
                    "
Thường vụ Quốc hội chất vấn 2 Bộ trưởng Lê Minh Hoan và Lê Thành Long,"
                            Thu Hằng
                        ","
                    "
"Chủ tịch Quốc hội Vương Đình Huệ gặp Chủ tịch Hạ viện Thái Lan, Philippines","
                            Trần Thường
                        ","
                    "
"Tổng Bí thư điện đàm với Chủ tịch Đảng Nhân dân Campuchia, Thủ tướng Campuchia",,"Ngày 5/8, tại Trụ sở Trung ương Đảng, "
Chủ tịch nước Võ Văn Thưởng thăm Hội đồng Giám mục Việt Nam,,"Đây là lần đầu tiên, "
"Thủ tướng: Tuyệt đối không chia nhỏ các gói thầu, mua thầu, bán thầu","
                            Thu Hằng
                        ","
                    "
"Lập tổ công tác cải cách thủ tục hành chính, Phó Thủ tướng làm tổ trưởng","
                            Trần Thường
                        ","
                    "
Chủ tịch Quốc hội: Qua 'bão giông' càng sáng lên một ASEAN tự cường,"
                            Trần Thường
                        ","
                    "
Thứ trưởng Công Thương giải thích lý do điều chỉnh giá điện 3 tháng một lần,,"Chiều 5/8, tại họp báo thường kỳ Chính phủ, Thứ trưởng Bộ Công Thương Đỗ Thắng Hải trả lời câu hỏi của báo chí đề xuất rút ngắn thời gian điều chỉnh giá điện từ 6 tháng xuống 3 tháng khi sửa Quyết định 24/2017."
"‘Với chính sách đặc thù, TP.HCM xin cơ chế, không xin tiền’","
                            Hồ Văn
                        ","
                    "
Cho phép thành lập Hội Cựu Công an nhân dân Việt Nam,"
                            Trần Thường
                        ","
                    "
"56 năm ASEAN: Chăm chỉ gieo hạt giống, nuôi dưỡng lòng tin, mở đường phát triển",,"Sáng 8/8, Bộ Ngoại giao Việt Nam long trọng tổ chức lễ thượng cờ ASEAN nhân dịp kỷ niệm 56 năm ngày thành lập ASEAN. Bộ trưởng Ngoại giao Bùi Thanh Sơn chủ trì buổi lễ với sự tham gia của Trưởng đoàn ngoại giao, các đại sứ, đại biện, đại diện đại sứ quán các nước ASEAN và các đối tác của ASEAN tại Hà Nội; lãnh đạo các Bộ, ngành, UBND TP Hà Nội và các đơn vị liên quan."
Xây dựng Đề án Tổng kết 10 năm thực hiện Nghị quyết 22 của Bộ Chính trị,,"Phiên họp được kết nối trực tuyến từ Trụ sở Chính phủ tới các điểm cầu tại 63 tỉnh, thành phố trực thuộc Trung ương."
Ông Võ Tấn Đức làm quyền Chủ tịch UBND tỉnh Đồng Nai,"
                            Hoàng Anh- ĐN
                        ","
                    "
Bà Nguyễn Thị Doan đề nghị có chính sách tăng lương riêng cho giáo viên,"
                            Thu Hằng
                        ","
                    "
"Sáp nhập huyện, xã không còn chờ 'nước đến chân mới nhảy'","
                            Thu Hằng
                        ","
                    "
"Thu hồi, hủy bỏ 376 quyết định thi hành án","
                            Thu Hằng
                        ","
                    "
Thủ tướng: Việt Nam kiên định chính sách quốc phòng '4 không',"
                            Trần Thường
                        ","
                    "
"Việt Nam - Philippines phấn đấu kim ngạch 10 tỷ USD, đẩy mạnh hợp tác kinh tế số",,"Chiều 2/8, Thủ tướng Phạm Minh Chính đã tiếp Bộ trưởng Ngoại giao Philippines Enrique A. Manalo nhân dịp ông thăm chính thức Việt Nam và đồng chủ trì Kỳ họp lần thứ 10 Ủy ban hỗn hợp về Hợp tác song phương Việt Nam – Philippines (JCBC-10). "
"Quy định mới về hạn tuổi phục vụ cao nhất của nam, nữ sĩ quan công an","
                            Trần Thường
                        ","
                    "
Trọng dụng nhân tài thực chất,"
                            Tấn Đăng
                        ","
                    "
"Trưởng ban Dân vận Trung ương: ""Xử lý dứt điểm vấn đề phức tạp ngay từ cơ sở""","
                            Đoàn Bổng
                        ","
                    "
"Sớm xây cao tốc phá thế độc đạo, không để xảy ra sự cố như vụ sạt lở đèo Bảo Lộc","
                            Thu Hằng
                        ","
                    "
Yêu cầu Philippines xử lý nghiêm vụ người biểu tình phá hoại Quốc kỳ Việt Nam,,"Chiều 3/8, báo chí đặt câu hỏi, đề nghị Bộ Ngoại giao cho biết phản ứng của Việt Nam trước việc ngày 1/8, một nhóm người Philippines đã biểu tình, xé cờ Việt Nam trước trụ sở Đại sứ quán Việt Nam tại Manila."
"Kiểm soát quyền lực trong công tác cán bộ, đẩy lui nạn 'công quyền gia trưởng'","
                            Nguyễn Văn Đáng
                        ","
                    "
Bí thư Hà Nội hối thúc tiến độ dự án đường Vành đai 4,"
                            Quang Phong
                        ","
                    "
Việt Nam phản đối Trung Quốc tập trận ở Hoàng Sa,,"Chiều 3/8, tại họp báo thường kỳ Bộ Ngoại giao, báo chí nêu thông tin, theo thông báo của nhà chức trách Trung Quốc, nước này sẽ tiến hành một cuộc ""huấn luyện quân sự"" trên Biển Đông từ ngày 29/7 đến ngày 2/8. Khu vực thông báo tập trận bao trùm một phần quần đảo Hoàng Sa thuộc chủ quyền của Việt Nam."
TAND Tối cao giới thiệu nhân sự quy hoạch Trung ương khóa mới,"
                            Trần Thường
                        ","
                    "
"Lấy phiếu tín nhiệm Phó Chánh án TAND tối cao, Phó Viện trưởng VKSND tối cao","
                            Thu Hằng
                        ","
                    "
Thi hành kỷ luật Thứ trưởng Bộ Xây dựng Bùi Hồng Minh,"
                            Trần Thường
                        ","
                    "
Xung lực mới từ chuyến thăm 3 nước châu Âu của Chủ tịch nước và phu nhân,"
                            Trần Thường
                        ","
                    "
"'Công nghệ chưa thể tạo ra máu, nhưng tình người có thể giúp người đang cần máu'",,"Chiều ngày 29/7, Thủ tướng Phạm Minh Chính gặp mặt 100 đại biểu là người hiến máu tình nguyện tiêu biểu toàn quốc năm 2023. Cùng tham dự cuộc gặp mặt có Bộ trưởng Bộ Y tế Đào Hồng Lan, Trưởng Ban Chỉ đạo Quốc gia Vận động hiến máu tình nguyện, lãnh đạo các bộ, ngành, cơ quan Trung ương."
Thủ tướng: Lấy Bắc Ninh làm hình mẫu về phát triển nhà ở xã hội để nhân rộng,,"Thủ tướng thăm hỏi, động viên công nhân tại dự án - Ảnh: VGP/Nhật Bắc"
"Chính sách mới: Tăng tuổi nghỉ hưu công an, điều chỉnh lương hưu, trợ cấp BHXH","
                            Trần Thường
                        ","
                    "
Thủ tướng dự lễ khởi công 3 tuyến đường có ý nghĩa lớn với Bắc Ninh và Hà Nội,,Thủ tướng Phạm Minh Chính cùng các đại biểu bấm nút khởi công dự án - Ảnh: VGP/Nhật Bắc
Mỗi cán bộ có một mã số duy nhất đến suốt đời,"
                            Thu Hằng
                        ","
                    "
"Chính phủ yêu cầu hoàn thành sáp nhập huyện, xã trong năm 2024","
                            Thu Hằng
                        ","
                    "
Toà thánh Vatican sắp có đại diện thường trú và văn phòng tại Việt Nam,"
                            Trần Thường
                        ","
                    "
Việt Nam bàn giao hài cốt quân nhân Mỹ,"
                            Trần Thường
                        ","
                    "
"Sáp nhập huyện, xã phải bảo đảm bộ máy hành chính vẫn hoạt động trơn tru","
                            Thu Hằng
                        ","
                    "
Thủ tướng yêu cầu tập trung khắc phục vụ sạt lở đất tại đèo Bảo Lộc,"
                            Thu Hằng
                        ","
                    "
"Thủ tướng yêu cầu sáp nhập huyện, xã phải tạo không gian phát triển mới","
                            Thu Hằng
                        ","
                    "
"Từng bước khắc phục tình trạng lạm quyền, lộng quyền trong công tác cán bộ","
                            Thu Hằng
                        ","
                    "
Tổng thống Italia chủ trì lễ đón Chủ tịch nước Võ Văn Thưởng và phu nhân,,"Ngay từ Quảng trường Venezia, Đội kỵ binh danh dự Italia tháp tùng Chủ tịch nước "
Thủ tướng Phạm Minh Chính chủ trì phiên họp chuyên đề pháp luật tháng 7/2023,,"Cùng tham dự phiên họp có các đồng chí: Bí thư Trung ương Đảng, "
Bốn phó trưởng Ban Tổ chức Trung ương đều đạt tín nhiệm cao,"
                            Thu Hằng
                        ","
                    "
Thủ tướng Italia chủ trì lễ đón trang trọng Chủ tịch nước Võ Văn Thưởng,"
                            Trần Thường
                        ","
                    "
"Hội đàm cùng Chủ tịch nước Võ Văn Thưởng, Tổng thống Italia báo tin vui","
                            Trần Thường
                        ","
                    "
